A,AtletaID,CA,CV,ClubeID,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,Jogos,PE,PP,Participou,Pontos,PontosMedia,Posicao,Preco,PrecoVariacao,RB,Rodada,SG,Status,ano,avg.A,avg.A.l05,avg.CA,avg.CV.l05,avg.DD,avg.DD.l05,avg.DP,avg.DP.l05,avg.FC,avg.FC.l05,avg.FD,avg.FD.l05,avg.FF,avg.FF.l05,avg.FS,avg.FS.l05,avg.FT,avg.FT.l05,avg.G,avg.G.l05,avg.GC,avg.GC.l05,avg.GS,avg.GS.l05,avg.I,avg.I.l05,avg.PE,avg.PE.l05,avg.PP,avg.PP.l05,avg.Points,avg.RB,avg.RB.l05,avg.SG,avg.SG.l05,avg.last05,away.score.x,dia,home.attack,home.defend,home.score.x,mes,pred.away.score,pred.home.score,risk_points,variable,Target_varPreco,Target_Pontos
0.0,37604,0.0,0.0,Atlético-PR,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,True,0.8,1.93,zag,4.3,-0.55,1.0,25.0,0.0,Nulo,2017,0.00980392156862745,0.0,0.147058823529412,0.0,0.0,0.0,0.0,0.0,0.411764705882353,1.0,0.0784313725490196,0.2,0.0784313725490196,0.0,0.323529411764706,0.6,0.00980392156862745,0.2,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.00980392156862745,0.0,1.2843137254902,1.6,0.0,0.0,1.2186274509803898,0.313725490196078,1.0,0.22549019607843104,0.2,2.52,0.0,23.0,0.0,0.0,1.0,9.0,0.0,0.0,2.39418276476778,away.team,0.0,0.0
0.0,37604,0.0,0.0,Atlético-PR,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,True,1.1,1.88,zag,4.2,-0.1,1.0,32.0,0.0,Provável,2017,0.009174311926605509,0.0,0.13761467889908302,0.0,0.0,0.0,0.0,0.0,0.39449541284403705,0.2,0.07339449541284401,0.0,0.07339449541284401,0.0,0.3119266055045869,0.2,0.009174311926605509,0.0,0.018348623853211003,0.0,0.0,0.0,0.0,0.0,0.009174311926605509,0.0,1.22018348623853,0.4,0.0,0.0,1.15045871559633,0.302752293577982,0.2,0.211009174311927,0.0,0.22,0.0,5.0,0.0,0.0,1.0,11.0,0.0,0.0,1.32367334003186,away.team,0.37,3.1
0.0,37604,0.0,0.0,Atlético-PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,True,3.1,1.95,zag,4.57,0.37,2.0,33.0,0.0,Provável,2017,0.00909090909090909,0.0,0.136363636363636,0.0,0.0,0.0,0.0,0.0,0.390909090909091,0.2,0.0727272727272727,0.0,0.0727272727272727,0.0,0.30909090909090897,0.2,0.00909090909090909,0.0,0.0181818181818182,0.0,0.0,0.0,0.0,0.0,0.00909090909090909,0.0,1.21818181818182,0.6,0.0,0.0,1.16818181818182,0.31818181818181795,0.6,0.209090909090909,0.0,0.84,1.0,8.0,0.0,0.0,0.0,11.0,0.0,0.0,0.997775303139718,home.team,0.23,4.4
0.0,37604,0.0,0.0,Atlético-PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,True,4.4,2.09,zag,4.8,0.23,0.0,34.0,1.0,Provável,2017,0.009009009009009007,0.0,0.135135135135135,0.0,0.0,0.0,0.0,0.0,0.387387387387387,0.2,0.0720720720720721,0.0,0.0720720720720721,0.0,0.306306306306306,0.2,0.009009009009009007,0.0,0.018018018018018004,0.0,0.0,0.0,0.0,0.0,0.009009009009009007,0.0,1.22522522522523,1.0,0.0,0.0,1.1972972972973002,0.31531531531531504,0.6,0.216216216216216,0.2,1.72,1.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,1.56290328128988,away.team,-0.9,-1.3
0.0,37607,1.0,0.0,Palmeiras,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,True,-0.7,0.67,mei,5.71,-0.44,1.0,4.0,0.0,Dúvida,2017,0.0754716981132075,0.0,0.0943396226415094,0.0,0.0,0.0,0.0,0.0,0.537735849056604,0.2,0.216981132075472,0.0,0.481132075471698,0.4,0.264150943396226,0.2,0.009433962264150941,0.0,0.0754716981132075,0.0,0.0,0.0,0.0,0.0,0.245283018867925,0.0,2.21698113207547,2.8,0.0,0.0,1.45377358490566,0.433962264150943,0.8,0.0660377358490566,0.0,0.4,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,1.3224556283251598,home.team,0.37,2.3
0.0,37607,0.0,0.0,Palmeiras,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,0.0,True,2.3,1.08,mei,6.08,0.37,1.0,5.0,0.0,Provável,2017,0.0747663551401869,0.0,0.0934579439252336,0.0,0.0,0.0,0.0,0.0,0.5327102803738321,0.2,0.22429906542056105,0.2,0.495327102803738,0.8,0.27102803738317804,0.4,0.009345794392523359,0.0,0.0747663551401869,0.0,0.0,0.0,0.0,0.0,0.25233644859813104,0.2,2.25233644859813,4.0,0.0,0.0,1.46168224299065,0.439252336448598,1.0,0.0654205607476635,0.0,0.86,0.0,7.0,0.0,0.0,1.0,6.0,0.0,0.0,1.47501412422616,away.team,-1.07,-2.1
0.0,37607,0.0,0.0,Palmeiras,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,True,3.3,0.92,mei,5.39,0.38,1.0,11.0,0.0,Nulo,2017,0.0707964601769911,0.0,0.0973451327433628,0.0,0.0,0.0,0.0,0.0,0.52212389380531,0.4,0.22123893805309694,0.2,0.5044247787610621,0.6,0.27433628318584097,0.4,0.00884955752212389,0.0,0.0707964601769911,0.0,0.0,0.0,0.0,0.0,0.247787610619469,0.0,2.1858407079646,1.0,0.0,0.0,1.39469026548673,0.4247787610619471,0.2,0.0619469026548673,0.0,0.66,0.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,1.93520024803636,home.team,-0.64,-0.5
1.0,37607,0.0,0.0,Palmeiras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,True,6.4,1.43,mei,5.99,1.24,1.0,14.0,0.0,Dúvida,2017,0.0775862068965517,0.2,0.0948275862068965,0.0,0.0,0.0,0.0,0.0,0.517241379310345,0.6,0.21551724137931,0.2,0.4913793103448279,0.6,0.26724137931034503,0.4,0.00862068965517241,0.0,0.0689655172413793,0.0,0.0,0.0,0.0,0.0,0.241379310344828,0.0,2.13793103448276,1.2,0.0,0.0,1.4094827586206895,0.422413793103448,0.4,0.0603448275862069,0.0,1.84,2.0,16.0,0.0,0.0,4.0,7.0,0.0,0.0,2.42587899304332,home.team,-1.21,-0.5
0.0,37607,1.0,0.0,Palmeiras,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,10.0,3.0,0.0,True,1.2,1.22,mei,4.87,0.09,2.0,19.0,0.0,Nulo,2017,0.0743801652892562,0.0,0.10743801652892597,0.0,0.0,0.0,0.0,0.0,0.520661157024793,0.6,0.206611570247934,0.0,0.4793388429752071,0.2,0.272727272727273,0.4,0.008264462809917359,0.0,0.0661157024793388,0.0,0.0,0.0,0.0,0.0,0.239669421487603,0.2,2.09917355371901,1.2,0.0,0.0,1.35702479338843,0.43801652892562,0.8,0.0578512396694215,0.0,0.14,1.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,2.21080679089482,home.team,-0.17,0.2
0.0,37607,0.0,0.0,Palmeiras,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,True,0.2,1.13,mei,4.7,-0.17,0.0,20.0,0.0,Provável,2017,0.0737704918032787,0.0,0.10655737704918,0.0,0.0,0.0,0.0,0.0,0.524590163934426,0.4,0.20491803278688506,0.0,0.475409836065574,0.2,0.286885245901639,0.8,0.008196721311475409,0.0,0.0655737704918033,0.0,0.0,0.0,0.0,0.0,0.23770491803278695,0.2,2.0901639344262297,0.8,0.0,0.0,1.34754098360656,0.4344262295081969,0.4,0.0573770491803279,0.0,0.28,1.0,13.0,0.0,0.0,1.0,8.0,0.0,0.0,2.20174173477878,away.team,1.28,7.7
