,Unnamed: 0,AtletaID,Rodada,Prev_Pontos,A,CA,CV,ClubeID,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,Jogos,PE,PP,Participou,Pontos,PontosMedia,Posicao,Preco,PrecoVariacao,RB,SG,Status,ano,avg.A,avg.A.l05,avg.CA,avg.CV.l05,avg.DD,avg.DD.l05,avg.DP,avg.DP.l05,avg.FC,avg.FC.l05,avg.FD,avg.FD.l05,avg.FF,avg.FF.l05,avg.FS,avg.FS.l05,avg.FT,avg.FT.l05,avg.G,avg.G.l05,avg.GC,avg.GC.l05,avg.GS,avg.GS.l05,avg.I,avg.I.l05,avg.PE,avg.PE.l05,avg.PP,avg.PP.l05,avg.Points,avg.RB,avg.RB.l05,avg.SG,avg.SG.l05,avg.last05,away.score.x,dia,home.attack,home.defend,home.score.x,mes,pred.away.score,pred.home.score,risk_points,variable,Target_varPreco,Target_Pontos,Prev_Preco
3346,3346,73649,14.0,0.22266260000000002,0.0,0.0,0.0,São Paulo,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,14.0,5.0,0.0,True,2.7,4.11,ata,15.44,-0.95,0.0,0.0,Provável,2017,0.0659340659340659,0.0,0.043956043956044,0.0,0.0,0.0,0.0,0.0,0.7582417582417579,1.0,0.5714285714285711,1.2,0.6923076923076921,1.6,0.813186813186813,2.2,0.0659340659340659,0.0,0.20879120879120894,0.2,0.0,0.0,0.0,0.0,0.18681318681318693,0.4,1.98901098901099,3.2,0.010989010989011,0.2,2.99120879120879,0.340659340659341,0.2,0.0,0.0,2.6,0.0,16.0,0.0,0.0,2.0,7.0,0.0,0.0,6.44432566940354,away.team,0.72,8.1,0.23786789
3347,3347,73649,15.0,0.16126096,0.0,0.0,0.0,São Paulo,0.0,0.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,15.0,6.0,0.0,True,8.1,4.38,ata,16.16,0.72,0.0,0.0,Provável,2017,0.0652173913043478,0.0,0.0434782608695652,0.0,0.0,0.0,0.0,0.0,0.7717391304347829,1.2,0.565217391304348,1.2,0.706521739130435,1.6,0.83695652173913,2.2,0.0652173913043478,0.0,0.21739130434782605,0.4,0.0,0.0,0.0,0.0,0.18478260869565197,0.4,2.03260869565217,4.2,0.0108695652173913,0.2,3.0467391304347795,0.33695652173913004,0.0,0.0,0.0,3.46,0.0,19.0,0.0,0.0,1.0,7.0,0.0,0.0,4.489246410404912,home.team,-0.67,2.8,0.049077332
3348,3348,73649,16.0,0.151609,0.0,0.0,0.0,São Paulo,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,True,2.8,4.28,ata,15.49,-0.67,1.0,0.0,Provável,2017,0.0645161290322581,0.0,0.043010752688172005,0.0,0.0,0.0,0.0,0.0,0.7741935483870971,1.2,0.5698924731182801,1.0,0.7096774193548392,1.0,0.8387096774193549,2.2,0.0645161290322581,0.0,0.21505376344086,0.4,0.0,0.0,0.0,0.0,0.18279569892473105,0.4,2.03225806451613,4.0,0.010752688172043001,0.2,3.0440860215053798,0.34408602150537604,0.2,0.0,0.0,3.24,1.0,24.0,0.0,0.0,1.0,7.0,0.0,0.0,4.48950628317487,home.team,-0.41,2.0,0.22214529
3349,3349,73649,17.0,0.22450516,0.0,0.0,0.0,São Paulo,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,True,2.0,4.15,ata,15.08,-0.41,1.0,0.0,Provável,2017,0.0638297872340425,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.7765957446808509,1.0,0.563829787234043,1.0,0.7234042553191491,1.2,0.8297872340425531,2.0,0.0638297872340425,0.0,0.212765957446809,0.4,0.0,0.0,0.0,0.0,0.180851063829787,0.2,2.03191489361702,4.0,0.0106382978723404,0.0,3.0329787234042596,0.351063829787234,0.4,0.0,0.0,4.92,4.0,29.0,0.0,0.0,3.0,7.0,0.0,0.0,4.460144491929482,away.team,0.71,4.6,0.22214529
3350,3350,73649,18.0,0.151609,0.0,0.0,0.0,São Paulo,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,1.0,0.0,True,4.6,4.17,ata,15.79,0.71,2.0,0.0,Provável,2017,0.0631578947368421,0.0,0.0421052631578947,0.0,0.0,0.0,0.0,0.0,0.7894736842105259,1.2,0.5894736842105259,1.2,0.715789473684211,1.2,0.821052631578947,1.6,0.0631578947368421,0.0,0.21052631578947398,0.2,0.0,0.0,0.0,0.0,0.18947368421052602,0.4,2.02105263157895,3.2,0.0105263157894737,0.0,3.04947368421053,0.368421052631579,0.8,0.0,0.0,4.04,2.0,3.0,0.0,0.0,1.0,8.0,0.0,0.0,4.5001358004200505,home.team,-0.94,0.6,0.08804643
3351,3351,73649,19.0,0.22266260000000002,0.0,0.0,0.0,São Paulo,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,0.0,True,0.6,3.98,ata,14.85,-0.94,0.0,0.0,Provável,2017,0.0625,0.0,0.0416666666666667,0.0,0.0,0.0,0.0,0.0,0.78125,1.2,0.583333333333333,0.8,0.708333333333333,1.0,0.84375,1.4,0.0625,0.0,0.208333333333333,0.2,0.0,0.0,0.0,0.0,0.1875,0.2,2.03125,2.8,0.0104166666666667,0.0,3.02395833333333,0.3645833333333329,0.8,0.0,0.0,3.62,1.0,6.0,0.0,0.0,2.0,8.0,0.0,0.0,4.23148253505133,away.team,-1.01,-4.4,0.2999707
3352,3352,73649,20.0,0.151609,0.0,0.0,1.0,São Paulo,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,True,-4.4,3.56,ata,13.84,-1.01,1.0,0.0,Nulo,2017,0.0618556701030928,0.0,0.0412371134020619,0.2,0.0,0.0,0.0,0.0,0.8144329896907221,1.6,0.577319587628866,0.8,0.711340206185567,0.8,0.8453608247422679,1.0,0.0618556701030928,0.0,0.206185567010309,0.0,0.0,0.0,0.0,0.0,0.18556701030927802,0.2,2.02061855670103,1.8,0.0103092783505155,0.0,2.94742268041237,0.37113402061855705,1.0,0.0,0.0,1.12,2.0,13.0,0.0,0.0,3.0,8.0,0.0,0.0,4.834471130445509,home.team,0.0,0.0,0.54683644
3353,3353,73649,22.0,0.21301064,1.0,0.0,0.0,São Paulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,True,5.0,3.63,ata,15.14,1.3,0.0,0.0,Provável,2017,0.0707070707070707,0.2,0.0404040404040404,0.2,0.0,0.0,0.0,0.0,0.797979797979798,1.2,0.565656565656566,0.6,0.696969696969697,0.2,0.8282828282828281,0.8,0.0606060606060606,0.0,0.202020202020202,0.0,0.0,0.0,0.0,0.0,0.18181818181818202,0.2,1.97979797979798,1.0,0.0101010101010101,0.0,2.9383838383838397,0.36363636363636404,0.6,0.0,0.0,1.16,2.0,27.0,0.0,0.0,4.0,8.0,0.0,0.0,3.93282482588675,away.team,0.41,6.8,0.06770316
3354,3354,73649,23.0,0.151609,1.0,0.0,0.0,São Paulo,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,True,6.8,3.77,ata,15.55,0.41,1.0,0.0,Provável,2017,0.08,0.4,0.04,0.2,0.0,0.0,0.0,0.0,0.8,1.0,0.56,0.0,0.7,0.4,0.83,1.0,0.06,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.18,0.0,1.98,1.2,0.01,0.0,2.977,0.37,0.4,0.0,0.0,1.6,2.0,9.0,0.0,0.0,2.0,9.0,0.0,0.0,3.61072476565763,home.team,-0.73,2.4,0.019693702
3355,3355,73649,24.0,0.21301064,0.0,0.0,0.0,São Paulo,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,True,2.4,3.71,ata,14.82,-0.73,1.0,0.0,Provável,2017,0.0792079207920792,0.4,0.0396039603960396,0.2,0.0,0.0,0.0,0.0,0.8217821782178221,1.6,0.564356435643564,0.2,0.7029702970297029,0.6,0.8316831683168321,0.6,0.0594059405940594,0.0,0.198019801980198,0.0,0.0,0.0,0.0,0.0,0.17821782178217802,0.0,1.96039603960396,0.6,0.0099009900990099,0.0,2.97128712871287,0.376237623762376,0.6,0.0,0.0,1.96,2.0,17.0,0.0,0.0,1.0,9.0,0.0,0.0,3.61307809676643,away.team,0.13,3.5,0.25548297
